age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,Self-emp-inc,442454,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7985,0,50,United-States,>50K
47,Self-emp-inc,205727,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,21,0,50,United-States,>50K
45,Self-emp-not-inc,79663,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,13,United-States,>50K
57,Private,189099,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,24,0,40,United-States,>50K
33,Private,190739,7th-8th,3,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K
48,Private,33898,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Self-emp-inc,197936,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7497,0,40,United-States,>50K
65,State-gov,164456,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,15130,0,12,United-States,>50K
35,Private,172388,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
56,Self-emp-not-inc,245317,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,6,0,75,United-States,>50K
66,Private,209620,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14609,0,46,United-States,>50K
37,Self-emp-inc,391955,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,68,United-States,>50K
40,Private,165055,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
33,Local-gov,172535,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7691,0,40,Iran,>50K
64,Without-pay,173373,HS-grad,9,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,3521,0,40,United-States,>50K
29,Federal-gov,179453,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
21,Self-emp-not-inc,160761,Masters,14,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,20,0,50,Vietnam,>50K
65,Federal-gov,356319,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
29,Private,338361,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,9,United-States,>50K
38,Private,196586,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,7274,0,40,Taiwan,>50K
52,Private,400295,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Male,8,0,36,El-Salvador,>50K
54,Private,205936,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,22,0,35,Portugal,>50K
28,Private,154014,7th-8th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
40,Private,67689,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7600,0,40,United-States,>50K
28,Private,181103,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,>50K
35,Private,158394,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3517,0,40,Hong,>50K
29,Private,150682,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,57,United-States,>50K
29,Private,189107,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3873,0,68,United-States,>50K
55,Private,204597,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2820,0,40,United-States,>50K
47,Private,355104,Bachelors,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,26,0,35,Philippines,>50K
58,Federal-gov,239451,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,25,0,40,United-States,>50K
52,Private,220159,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,40,Mexico,>50K
67,Private,238736,Masters,10,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,59,United-States,>50K
39,Private,162653,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
71,?,122864,Assoc-voc,11,Divorced,?,Not-in-family,Asian-Pac-Islander,Female,10,0,37,Nicaragua,>50K
46,Private,443874,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1741,40,United-States,>50K
51,Private,298943,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,15198,0,61,United-States,>50K
31,Private,188268,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15050,0,46,United-States,>50K
59,Private,135569,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,46,United-States,>50K
35,Private,193141,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
46,Private,98158,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7461,0,76,United-States,>50K
60,?,113505,Some-college,10,Divorced,?,Not-in-family,Asian-Pac-Islander,Male,1,0,40,El-Salvador,>50K
31,Private,22428,7th-8th,3,Married-spouse-absent,Other-service,Wife,White,Female,0,0,45,Italy,>50K
42,Private,201922,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,26,0,45,United-States,>50K
33,Private,188244,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7487,0,60,United-States,>50K
33,Private,213023,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,>50K
62,Private,195390,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,57,United-States,>50K
48,Private,194194,Some-college,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,15103,0,40,Taiwan,>50K
44,Private,111248,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,14781,0,50,United-States,>50K
48,Private,40471,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,United-States,>50K
49,Federal-gov,329858,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,14674,0,49,United-States,>50K
58,Private,208845,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K
38,Local-gov,25174,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,0,40,United-States,>50K
48,Private,156773,Assoc-acdm,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
54,Private,223712,Masters,14,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,14717,0,45,India,>50K
50,Self-emp-not-inc,216768,Prof-school,15,Divorced,Prof-specialty,Husband,White,Male,14988,0,60,United-States,>50K
52,Self-emp-not-inc,210222,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14958,0,12,United-States,>50K
35,Private,196244,5th-6th,5,Married-civ-spouse,Sales,Husband,White,Male,4,0,60,United-States,>50K
43,Private,197816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K
54,Local-gov,178591,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,9,0,50,United-States,>50K
45,Self-emp-not-inc,196091,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,14648,0,63,United-States,>50K
47,Local-gov,167164,Prof-school,16,Divorced,Prof-specialty,Husband,White,Male,15,0,60,United-States,>50K
46,Private,204944,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,51,United-States,>50K
31,Federal-gov,227617,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15,0,45,United-States,>50K
54,Private,148665,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,3177,0,45,United-States,>50K
53,Private,305534,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,0,63,United-States,>50K
34,Private,173841,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,59,United-States,>50K
33,State-gov,199186,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,>50K
44,Local-gov,45247,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,4164,0,50,United-States,>50K
63,Private,171692,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3733,0,57,United-States,>50K
40,Private,191634,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,3422,0,12,United-States,>50K
47,Private,179510,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,>50K
19,Private,215595,Some-college,10,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,14,India,>50K
23,Private,167977,Assoc-acdm,11,Married-AF-spouse,Other-service,Wife,White,Female,10,0,30,United-States,>50K
33,Federal-gov,178614,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,31,United-States,>50K
43,Private,146527,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,14609,0,34,United-States,>50K
53,Self-emp-inc,128133,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,26,0,76,Iran,>50K
56,Self-emp-inc,385219,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,11,0,17,?,>50K
32,Private,181360,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,9,0,40,United-States,>50K
27,Private,164563,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,11,United-States,>50K
54,Private,197194,10th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,31,United-States,>50K
49,Private,23991,5th-6th,9,Divorced,Other-service,Wife,White,Female,2239,0,24,Greece,>50K
43,Private,214063,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7786,0,40,?,>50K
48,Self-emp-inc,320287,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14978,0,69,United-States,>50K
27,Private,190362,Some-college,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,7,United-States,>50K
43,Private,143591,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,51,United-States,>50K
73,?,205840,HS-grad,9,Widowed,?,Unmarried,White,Female,2807,0,9,Germany,>50K
