age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56,Private,184907,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
27,Private,206375,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,6,0,49,United-States,<=50K
19,?,224080,HS-grad,9,Never-married,?,Own-child,Asian-Pac-Islander,Male,0,0,8,United-States,<=50K
36,Federal-gov,212418,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,12,0,40,United-States,>50K
55,?,137370,Some-college,10,Never-married,?,Other-relative,White,Female,0,0,30,United-States,<=50K
49,Private,204679,Preschool,2,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,Greece,>50K
48,Private,125704,Some-college,10,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Male,4,0,72,Vietnam,<=50K
32,Private,174972,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
24,Private,96514,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,13,?,>50K
66,Private,55143,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,0,62,United-States,<=50K
26,Private,52897,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,34,United-States,<=50K
27,Self-emp-not-inc,97305,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Wife,White,Female,0,1,30,Hungary,<=50K
28,State-gov,273290,Bachelors,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,57,Ecuador,<=50K
32,Private,136563,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,6,1,24,United-States,<=50K
33,State-gov,174557,Some-college,3,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
35,Private,195125,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,8,0,68,United-States,>50K
62,Private,169545,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,<=50K
47,Without-pay,42029,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,74,United-States,<=50K
34,Federal-gov,170575,HS-grad,9,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,1,40,United-States,<=50K
40,Private,227446,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,175157,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
49,Private,101102,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,46,United-States,<=50K
65,Without-pay,152128,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,168452,1st-4th,6,Married-spouse-absent,Transport-moving,Unmarried,White,Female,0,0,40,Honduras,<=50K
27,Private,145989,Bachelors,13,Married-AF-spouse,Exec-managerial,Wife,White,Female,21,0,40,United-States,>50K
49,Private,156323,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
59,Private,181486,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3454,0,40,United-States,<=50K
55,Private,177069,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,>50K
22,?,158061,HS-grad,13,Never-married,?,Own-child,Amer-Indian-Eskimo,Female,0,0,35,United-States,>50K
60,Private,130139,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,<=50K
29,Private,157655,9th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,338088,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,35,United-States,<=50K
50,Private,175360,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,3143,0,45,United-States,>50K
59,State-gov,49561,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,10,United-States,<=50K
59,State-gov,232709,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
65,Private,135579,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Greece,<=50K
47,Private,214594,Prof-school,15,Divorced,Other-service,Not-in-family,White,Male,0,0,58,United-States,<=50K
50,Private,187483,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,45,South,<=50K
30,Private,170783,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
45,Self-emp-inc,475283,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,0,74,United-States,>50K
35,Private,165512,9th,7,Separated,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,12,United-States,<=50K
51,Private,182463,Bachelors,13,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,19,United-States,<=50K
29,Private,237061,1st-4th,2,Never-married,Handlers-cleaners,Unmarried,White,Male,7,0,40,Mexico,<=50K
33,Private,275055,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,46,United-States,<=50K
49,Local-gov,120352,Doctorate,15,Divorced,Prof-specialty,Unmarried,Black,Male,18,0,12,United-States,>50K
30,Private,189122,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Male,0,0,60,United-States,<=50K
27,Private,343037,Assoc-voc,11,Married-spouse-absent,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
36,Local-gov,51955,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,3048,0,40,United-States,<=50K
60,Private,40692,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,10,0,13,United-States,<=50K
22,Private,196166,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Female,5,0,43,Mexico,<=50K
48,Private,125124,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
27,Private,176985,HS-grad,11,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K
34,Private,108080,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,25,Iran,<=50K
47,Self-emp-inc,269451,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,3905,0,60,United-States,>50K
28,Private,372106,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
64,Private,223602,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
71,Private,295711,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,19,1,40,United-States,<=50K
39,Private,43823,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,34,United-States,<=50K
37,Private,216409,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,36,United-States,<=50K
59,Self-emp-inc,36610,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,74,China,>50K
51,State-gov,258942,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
20,Private,356154,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K
32,Private,160314,Assoc-voc,11,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,46,India,<=50K
34,Local-gov,101074,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,4,0,68,Germany,>50K
