age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,Private,147389,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
21,Private,161381,10th,6,Never-married,Adm-clerical,Own-child,White,Male,1,0,40,United-States,<=50K
29,Private,96812,Some-college,9,Never-married,Sales,Not-in-family,White,Male,0,0,44,United-States,<=50K
25,Self-emp-not-inc,107674,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,61,United-States,<=50K
60,?,81305,Bachelors,13,Divorced,?,Unmarried,White,Female,0,0,20,United-States,<=50K
42,Self-emp-not-inc,226593,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,19,United-States,<=50K
52,Private,76046,12th,7,Divorced,Other-service,Not-in-family,White,Female,0,0,37,United-States,<=50K
24,Private,120512,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,3,0,45,United-States,<=50K
44,Private,140623,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,3283,0,40,United-States,>50K
25,Private,98867,9th,5,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
34,Private,151392,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
58,State-gov,97370,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
35,Private,137345,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,1711,40,United-States,<=50K
41,Private,107980,Masters,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,14940,0,50,United-States,>50K
28,Private,110731,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,36,United-States,<=50K
49,State-gov,145886,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,<=50K
54,Private,119939,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,22,United-States,<=50K
34,Private,135490,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,3,1786,40,United-States,<=50K
43,Federal-gov,94567,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
30,Private,97236,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,86692,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,5954,0,40,United-States,<=50K
27,State-gov,87700,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,77547,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,1,0,59,United-States,<=50K
27,Private,83996,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,9,0,40,United-States,>50K
39,Private,203497,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
56,Private,86627,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,23,United-States,<=50K
48,Private,122970,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
26,Private,104811,HS-grad,9,Divorced,Adm-clerical,Wife,White,Female,4,0,35,United-States,<=50K
37,Private,208855,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,>50K
23,Self-emp-not-inc,94982,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,49,United-States,<=50K
22,Private,123537,HS-grad,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,44,United-States,<=50K
49,Private,110898,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,56,United-States,<=50K
